adj,noun,f,ipm
"русский","эскадра",6, 0.06177
"русский","монета",5, 0.05148
"русский","вилла",5, 0.05148
"русский","пляска",5, 0.05148
"русский","физик",5, 0.05148
"русский","танец",5, 0.05148
"русский","лагерь",5, 0.05148
"русский","помещик",5, 0.05148
"русский","правда",5, 0.05148
"русский","столица",5, 0.05148
"русский","статья",5, 0.05148
"русский","выражение",5, 0.05148
"русский","профессор",5, 0.05148
"русский","рубаха",5, 0.05148
"русский","авангардист",5, 0.05148
"русский","док",5, 0.05148
"русский","часть",5, 0.05148
"русский","гость",5, 0.05148
"русский","самолет",5, 0.05148
"русский","барышня",5, 0.05148
"русский","бистро",5, 0.05148
"русский","снаряд",5, 0.05148
"русский","фольварк",5, 0.05148
"русский","пехота",5, 0.05148
"русский","немец",5, 0.05148
"русский","иван",5, 0.05148
"русский","радиостанция",5, 0.05148
"русский","социалист",5, 0.05148
"русский","кладбище",5, 0.05148
"русский","изобретатель",5, 0.05148
"русский","полк",5, 0.05148
"русский","небо",5, 0.05148
"русский","землепроходец",5, 0.05148
"русский","пацан",5, 0.05148
"русский","фрегат",5, 0.05148
"русский","подданный",5, 0.05148
"русский","переселенец",5, 0.05148
"русский","дворянин",5, 0.05148
"русский","гора",5, 0.05148
"русский","область",5, 0.05148
"русский","деньги",5, 0.05148
"русский","маруська",5, 0.05148
"русский","квас",5, 0.05148
"русский","акцент",5, 0.05148
"русский","пушка",5, 0.05148
"русский","императрица",5, 0.05148
"русский","ресторан",4, 0.04118
"русский","экзотика",4, 0.04118
"русский","шрифт",4, 0.04118
"русский","традиция",4, 0.04118
"русский","штык",4, 0.04118
"русский","еда",4, 0.04118
"русский","пролетариат",4, 0.04118
"русский","герой",4, 0.04118
"русский","удаль",4, 0.04118
"русский","издание",4, 0.04118
"русский","спаниель",4, 0.04118
"русский","рубль",4, 0.04118
"русский","версаль",4, 0.04118
"русский","царизм",4, 0.04118
"русский","губерния",4, 0.04118
"русский","самовар",4, 0.04118
"русский","читатель",4, 0.04118
"русский","дело",4, 0.04118
"русский","характер",4, 0.04118
"русский","космонавт",4, 0.04118
"русский","квартал",4, 0.04118
"русский","экспедиция",4, 0.04118
"русский","актриса",4, 0.04118
"русский","студент",4, 0.04118
"русский","икона",4, 0.04118
"русский","болото",4, 0.04118
"русский","хорт",4, 0.04118
"русский","балерина",4, 0.04118
"русский","исследователь",4, 0.04118
"русский","священник",4, 0.04118
"русский","бриг",4, 0.04118
"русский","археолог",4, 0.04118
"русский","мореплаватель",4, 0.04118
"русский","лед",4, 0.04118
"русский","авиация",4, 0.04118
"русский","контрразведка",4, 0.04118
"русский","береза",4, 0.04118
"русский","борщ",4, 0.04118
"русский","манер",4, 0.04118
"русский","звездоплаватель",4, 0.04118
"русский","берег",4, 0.04118
"русский","шпион",4, 0.04118
"русский","витязь",4, 0.04118
"русский","ратник",4, 0.04118
"русский","кампания",4, 0.04118
"русский","блюдо",4, 0.04118
"русский","отряд",4, 0.04118
"русский","бог",4, 0.04118
"русский","музыка",4, 0.04118
"русский","грамматика",4, 0.04118
"русский","виноград",3, 0.03089
"русский","матрешка",3, 0.03089
"русский","экстрим",3, 0.03089
"русский","медь",3, 0.03089
"русский","корень",3, 0.03089
"русский","княгиня",3, 0.03089
"русский","коневодство",3, 0.03089
"русский","тяжеловоз",3, 0.03089
"русский","мореходец",3, 0.03089
"русский","привычка",3, 0.03089
"русский","врач",3, 0.03089
"русский","район",3, 0.03089
"русский","порт",3, 0.03089
"русский","вера",3, 0.03089
"русский","лото",3, 0.03089
"русский","тоннель",3, 0.03089
"русский","батыр",3, 0.03089
"русский","лингвист",3, 0.03089
"русский","аристократ",3, 0.03089
"русский","говор",3, 0.03089
"русский","мороз",3, 0.03089
"русский","чемпион",3, 0.03089
"русский","беженец",3, 0.03089
"русский","игрушка",3, 0.03089
"русский","господин",3, 0.03089
"русский","авиатор",3, 0.03089
"русский","озеро",3, 0.03089
"русский","ругательство",3, 0.03089
"русский","чиновник",3, 0.03089
"русский","население",3, 0.03089
"русский","учебник",3, 0.03089
"русский","аляска",3, 0.03089
"русский","сторона",3, 0.03089
"русский","одежда",3, 0.03089
"русский","клуб",3, 0.03089
"русский","территория",3, 0.03089
"русский","леди",3, 0.03089
"русский","поселок",3, 0.03089
"русский","крейсер",3, 0.03089
"русский","казак",3, 0.03089
"русский","специалист",3, 0.03089
"русский","брань",3, 0.03089
"русский","швейцария",3, 0.03089
"русский","математик",3, 0.03089
"русский","доктор",3, 0.03089
"русский","конструктор",3, 0.03089
"русский","военный",3, 0.03089
"русский","натура",3, 0.03089
"русский","начальник",3, 0.03089
"русский","поселенец",3, 0.03089
"русский","павильон",3, 0.03089
"русский","костюм",3, 0.03089
"русский","пилот",3, 0.03089
"русский","рыбак",3, 0.03089
"русский","глаз",3, 0.03089
"русский","бандит",3, 0.03089
"русский","штурман",3, 0.03089
"русский","геолог",3, 0.03089
"русский","пластинка",3, 0.03089
"русский","танкист",3, 0.03089
"русский","корпус",3, 0.03089
"русский","машина",3, 0.03089
"русский","проза",3, 0.03089
"русский","форт",3, 0.03089
"русский","суд",3, 0.03089
"русский","деревушка",3, 0.03089
"русский","полушубок",3, 0.03089
"русский","голос",3, 0.03089
"русский","ладья",3, 0.03089
"русский","слава",3, 0.03089
"русский","военнопленный",3, 0.03089
"русский","охотник",3, 0.03089
"русский","зодчество",3, 0.03089
"русский","лен",3, 0.03089
"русский","дом",3, 0.03089
"русский","паломник",3, 0.03089
"русский","помощь",3, 0.03089
"русский","жаргон",3, 0.03089
"русский","командир",3, 0.03089
"русский","винтовка",3, 0.03089
